,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Field,Deskripsi,example,kopi kenanngan fatmawati,Cafe Lima Mangkok Bistro,Foreword Library,Erasmus Huis,Urban Forest Cipete,WŌRK-UNUSUAL JAKARTA,Tebet Eco Park,TierSpace,Cinere Garden Food Street,Perpustakaan Freedom,Galeri Salihara,GoWork Fatmawati,Dia.Lo.Gue Artspace,Museum Layang-Layang Indonesia,Taman Cempaka
,ID Spot,Kode unik untuk setiap lokasi,PT001,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015
,Nama Tempat,Nama lengkap lokasi,Taman Literasi Blok M,kopi kenanngan,Lima Mangkok Bistro,Foreword Library,Erasmus Huis,Urban Forest Cipete,WŌRK-UNUSUAL JAKARTA,Tebet Eco Park,TierSpace,Cinere Garden Food Street,Perpustakaan Freedom,Galeri Salihara,GoWork Fatmawati,Dia.Lo.Gue Artspace,Museum Layang-layang Indonesia,Taman Cempaka
,Kategori,Jenis tempat,"Taman, Kafe, Perpustakaan, Coworking Space",cafe,Cafe,perpustakaan,perpustakaan,Taman,cafe,Taman,Coworking Space,"Pusat Kuliner, Food Court, Area Terbuka",Perpustakaan ,"Galeri Seni, Pusat Kebudayaan",Coworking Space,"Galeri Seni, Pusat Kebudayaan, Kafe","Museum, Edukasi",Taman
,Deskripsi Singkat,Gambaran umum suasana dan keunggulan tempat,"Area terbuka yang tenang, cocok untuk belajar dan bekerja","Kopi Kenangan adalah cafe yang menawarkan berbagai minuman kopi dan non-kopi dengan konsep grab-and-go. Tempat ini juga cocok untuk bekerja santai, meeting ringan, maupun sekadar menikmati waktu sendiri dengan suasana yang nyaman dan kekinian.","Bistro yang nyaman dengan desain interior estetik, menyajikan aneka rice bowl dan kopi. Cocok untuk makan siang produktif maupun kerja santai.","Perpustakaan privat dengan suasana homey dan estetik. Tempat ini sangat menjaga ketenangan, sehingga cocok untuk kamu yang butuh konsentrasi penuh tanpa gangguan suara.","Perpustakaan pusat kebudayaan Belanda dengan desain interior minimalis serba putih. Suasananya sangat dingin, tenang, dan memberikan kesan profesional untuk membaca atau mengerjakan tugas.",Area terbuka hijau di tengah kota yang asri. Cocok untuk kamu yang bosan di dalam ruangan dan ingin mengerjakan tugas dengan suasana santai sambil menikmati udara segar di bawah pepohonan.,Kafe minimalis dengan area open space yang asri. Dikenal sebagai spot favorit untuk WFC karena suasana yang tenang dan fasilitas penunjang kerja yang lengkap.,"Taman modern dengan jembatan ikonik yang menghubungkan dua area hijau. Sangat pas untuk kamu yang ingin menyegarkan pikiran di tengah kota, jalan santai di antara pepohonan, atau sekadar duduk tenang menikmati suasana asri.","Coworking space yang didesain agar terasa seperti rumah sendiri. Memiliki area indoor dan semi-outdoor yang seimbang, cocok untuk bekerja dengan suasana yang tidak terlalu kaku namun tetap produktif.",Pusat kuliner outdoor yang asri dengan banyak pilihan jajanan. Pas banget buat kamu yang ingin cari makan malam bareng teman atau keluarga sambil menikmati udara terbuka dan suasana yang santai.,Menawarkan rak buku tinggi yang ikonik dan area duduk yang sangat luas. Tempat ini adalah pilihan utama bagi mahasiswa atau peneliti yang mencari referensi buku sekaligus tempat kerja yang sunyi.,"Galeri seni kontemporer dengan desain arsitektur yang unik dan modern. Tempat ini sangat menjaga ketenangan, sehingga cocok untuk kamu yang butuh konsentrasi penuh atau ingin menikmati pameran seni tanpa gangguan suara.",Ruang kerja komersial dengan fasilitas premium. Sangat ideal jika kamu membutuhkan koneksi internet yang sangat stabil dan lingkungan kerja yang dikelilingi oleh profesional lainnya.,"Galeri seni kontemporer dengan desain interior minimalis serba putih yang ikonik. Suasananya memberikan kesan profesional namun santai, sangat pas untuk kamu yang ingin membaca, mengerjakan tugas, atau sekadar mencari inspirasi di antara karya seni.",Museum unik yang menyimpan koleksi ribuan layang-layang dari berbagai penjuru nusantara dan dunia. Suasananya yang homey dan tradisional sangat pas untuk kamu yang ingin belajar sejarah sambil mencoba workshop membuat layang-layang sendiri.,Area terbuka hijau di tengah kota yang asri. Cocok untuk kamu yang bosan di dalam ruangan dan ingin mengerjakan tugas dengan suasana santai sambil menikmati udara segar di bawah pepohonan yang rindang.
,Alamat Lengkap,Lokasi lengkap tempat,"Jl. Panglima Polim No. 37, Jakarta Selatan","Jl. RS. Fatmawati Raya, RT.1/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430","Jl. H. Ipin Raya No.5, RT.9/RW.1, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450","Jl. Jeruk Purut No.11, RT.6/RW.3, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560","Jalan Haji R. Rasuna Said Kav. S3, RT.8/RW.3, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950","Jl. RS. Fatmawati Raya No.45, RT.2/RW.11, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430","Jl. H. Ipin No.81A, RT.4/RW.8, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440","Jl. Tebet Barat Raya, RT.1/RW.10, West Tebet, Tebet, South Jakarta City, Jakarta 12820","4, Jl. Bakti No.10, RT.1/RW.6, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180","Jl. Sersan Usman & Kopral Harum, Depok, Pangkalan Jati, Kec. Cinere, Kota Depok, Jawa Barat 12560","Wisma Bakrie, Jl. H. R. Rasuna Said No.11 Kav, B-1, RT.5/RW.2, Kuningan, Karet Kuningan, Menteng, South Jakarta City, Jakarta 12920","Jl. Salihara No.16, RT.14/RW.3, Pasar Minggu, South Jakarta City, Jakarta 12520","Jl. RS. Fatmawati Raya No.188 3, RT.3/RW.4, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12420","Jl. Kemang Sel. No.99A, RT.1/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730","Jl. H. Kamang No.38, RT.5/RW.10, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450","Jl. Rawa Lindung, RT.2/RW.4, Cilangkap, Taman Cempaka, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13870"
,Kota,Kota lokasi berada,Jakarta Selatan,Jakarta selatan,Jakarta Selatan,jakarta selatan,jakarta selajan ,jkrta sel,jaksel,Jakarta Selatan,jaksel,Depok,jaksel,Jakarta Selatan,jksel,Jakarta Selatan,Jakarta Selatan,Jakarta Timur
,Koordinat,Latitude dan Longitude,"-6.2446, 106.7998",-6.2939993 106.7949457,-6.3114964 106.7919421, -6.2844059 106.8118381,-6.2342865 106.8288721,-6.2814605 106.7980063,-6.3108714 106.7867311,-6.2406 106.8503,-6.2331823 106.8135623,-6.3218 106.7844,-6.2130428 106.8298132.,-6.2838 106.8382,-6.2716002 106.7972395,-6.2729 106.8163,-6.30797 106.79062,-6.3526 106.9337
,Jam Operasional,Waktu buka dan tutup,08.00 - 22.00 WIB,24 jam,10.00 - 23.00 WIB,11.00 –19.30 wib ,10.00 - 16.00 wib,07.00 - 22.00 wib,07.00 - 22.00 wib,06.00 - 22.00 WIB,06.00 - 18.00 wib,08.00 - 23.00 WIB,9.00 - 17.00 wib,11.00 - 19.00 WIB,9.00 - 18.00,11.00 - 20.00 WIB,09.00 - 16.00 WIB,10.00 - 17.00 WIB
,Harga Masuk,Biaya masuk atau minimum pembelian,Gratis / Mulai dari Rp25.000,25 - 50 k,25 - 50k,,,,,,,20 - 50k,,Gratis - Rp35.000,,Gratis,Mulai dari Rp25.000,Gratis
